3 torch.Size([1, 64, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 64, 128]) tensor([0.2019, 0.0802, 0.0095])
1 torch.Size([1, 64, 128]) tensor([ 0.2572,  0.2486, -0.0314])
2 torch.Size([1, 64, 128]) tensor([-0.2239,  0.1632,  0.0005])
3 torch.Size([1, 64, 128]) tensor([-0.1215,  0.0877, -0.2739])
0 torch.Size([1, 64, 128]) tensor([0.1297, 0.0722, 0.0738])
1 torch.Size([1, 64, 128]) tensor([ 0.3471,  0.0811, -0.0210])
2 torch.Size([1, 64, 128]) tensor([-0.1419,  0.2275,  0.1058])
3 torch.Size([1, 64, 128]) tensor([-0.1393,  0.0230, -0.2207])
0 torch.Size([1, 64, 128]) tensor([0.2170, 0.0268, 0.1081])
1 torch.Size([1, 64, 128]) tensor([ 0.2807,  0.0741, -0.1044])
2 torch.Size([1, 64, 128]) tensor([0.0028, 0.0770, 0.1863])
3 torch.Size([1, 64, 128]) tensor([-0.0243,  0.0137, -0.2377])
0 torch.Size([1, 64, 128]) tensor([0.1365, 0.0316, 0.0988])
1 torch.Size([1, 64, 128]) tensor([ 0.1182,  0.1302, -0.2432])
2 torch.Size([1, 64, 128]) tensor([-0.0214,  0.1377,  0.0045])
3 torch.Size([1, 64, 128]) tensor([-0.0815,  0.0141, -0.2890])
0 torch.Size([1, 64, 128]) tensor([-0.0482,  0.0084,  0.0310])
1 torch.Size([1, 64, 128]) tensor([ 0.2580, -0.0740, -0.1350])
2 torch.Size([1, 64, 128]) tensor([ 0.0301,  0.0314, -0.1870])
3 torch.Size([1, 64, 128]) tensor([-0.0719,  0.0526, -0.2748])
0 torch.Size([1, 64, 128]) tensor([ 0.0734, -0.0229,  0.0929])
1 torch.Size([1, 64, 128]) tensor([ 0.3392, -0.1864, -0.0837])
2 torch.Size([1, 64, 128]) tensor([ 0.1709, -0.2803, -0.0436])
3 torch.Size([1, 64, 128]) tensor([-0.1158,  0.1289, -0.1883])
0 torch.Size([1, 64, 128]) tensor([ 0.1167, -0.0090,  0.0926])
1 torch.Size([1, 64, 128]) tensor([ 0.2496, -0.0506, -0.1189])
2 torch.Size([1, 64, 128]) tensor([ 0.2107, -0.4293,  0.0057])
3 torch.Size([1, 64, 128]) tensor([-0.1843,  0.2033, -0.3090])
0 torch.Size([1, 64, 128]) tensor([-0.0360, -0.0101,  0.0280])
1 torch.Size([1, 64, 128]) tensor([ 0.1425, -0.0642, -0.2563])
2 torch.Size([1, 64, 128]) tensor([-0.0752, -0.2289, -0.1557])
3 torch.Size([1, 64, 128]) tensor([-0.0304,  0.1613, -0.3528])
0 torch.Size([1, 64, 128]) tensor([-0.0742,  0.0008,  0.0246])
1 torch.Size([1, 64, 128]) tensor([ 0.1904, -0.0641, -0.2797])
2 torch.Size([1, 64, 128]) tensor([-0.1304, -0.1936, -0.1419])
3 torch.Size([1, 64, 128]) tensor([-0.0665,  0.1724, -0.2445])
